Text,Sentiment
still news roomhowever audio turn around grabbed tea looking forward 1 get rain,Neutral
saw fleetwood mac im insanely jealous dont enough money buy tickets think ill never see,Negative
theres one thing hate friends dats move skl forget yuu,Negative
think cheap sunglasses falling apart oh well,Negative
please read blog im best day,Negative
boo counts,Neutral
really need update,Neutral
blame goose gotcha feelin loose blame tron gotcha zone michellethis fault lol,Neutral
youre sappy little fellow thanks well wishes ill need today one exam,Positive
looking forward next week maths geography english french exams totalling 7 hours,Negative
called didnt answer,Neutral
tummy hurts,Negative
yeeeeeessss cant wait bad cant drink,Negative
love new avatar,Positive
never fall love found,Positive
im really mad world today today sucky day,Negative
says everyone busy,Neutral
workin still lol wanted go spring game,Neutral
still sad samantha,Negative
ugh boring friday,Negative
good news time incredibly hard decision,Negative
explore site 2 find cool stuff,Positive
wish could meet u think happen someday,Negative
shiraz event antibahai centernot mosque election campaignsadly children wr involved zahedan,Negative
sad schools close,Negative
yeah seen reviews great reviews surprised getting tickets tonight,Positive
friends mocking weekend talking,Neutral
haha rite im freeeeeeee britneys spears listenin time,Neutral
guess ill drive back nine hours,Neutral
finished bio mols mind map stupid sheet hid sections back,Negative
thats sad,Negative
yea yea im torture stanky leg marathonima dance hrs til cant mo,Negative
time ritualistic friday night depression,Negative
_007 dont worry theyll get bored hang dont give,Negative
yay sherbert chocolate nutritious,Positive
coming myspaceee yr work though dnt bother,Positive
_girl bummermail came package didnt,Negative
_m except im site near airport dixon lil starbucks gps head hehe,Neutral
wear jacket today cos didnt notice mark shirt,Neutral
trying make feel home,Positive
oh come get next week get next week full exams,Neutral
like still upmaybe im drunk hell great time tonight crazy,Positive
wow nothing like sale perk girls evening huh,Positive
wish could make quick trip la july miss la,Negative
thats u go weekend,Neutral
im disgusted well baron spelling lessons homie haha effort team r u shwasty shloshed love,Neutral
hate sick make soup,Negative
could lost dog poor girl,Negative
birthday today running mile tomorrow ughh choir concert,Neutral
miss,Negative
tried phoning,Neutral
looking forward session gym,Neutral
loving spring definitely seems,Positive
embrace autumn breeze leaves ambivalence dancing waltz choices uncertainties,Neutral
amazes heck stillthis internet thing,Positive
tweet us story x,Neutral
want monte cristo sandwich sooo bad,Positive
watching uninvited room cant wait go home go deid first,Neutral
wishing go place brandwkshop see theyve got scott bedbury poor,Negative
hehe thanks advice choose shoes three hard,Positive
oh wait messed messed lyrics dont concretize,Negative
good luck want new shoes ly x,Positive
press ignore button,Negative
three hated words see monday,Negative
hey cool,Neutral
end work thank god accomplished number things,Positive
found best songd stuck head relient k songsi know every word finish,Positive
thanks good read blog posts,Positive
gmornin,Positive
love americana movies see,Neutral
let guess ran miles respect dude cant maybe train,Positive
hey rocstar,Neutral
hahahaha wtf dianne twitters loli guess depends person,Negative
good night im sleeep 5 good mornining xd,Positive
awww missed ill see tonight,Negative
think ill pass worm haha good morning,Neutral
aww hope feel better soon,Positive
congratulations penjiiii calling soulja boy mcbaby lol,Positive
gutted playing kos july jules,Negative
wishing could sï½o paulo show fortunately went brasilia one haha,Positive
_divine take advice lookin phone cost relationship,Positive
supposed go boatingsongwriting cape cod cold rainy,Neutral
may us case ill attend back cant afford go,Neutral
happy mothers day everyone,Positive
_bhb went concert remember derek mark hosting miss seeing bhb grove,Negative
mouth hurts wish could cut head,Negative
cant sleep,Negative
success much grumbling abt always waste money useless gifts mum sees ipod nano loves,Neutral
cant sleep nothings tv,Negative
spent 45 minutes looking aud,Neutral
chilled day party tomorrow,Neutral
tired day awesomeness cake time bit sleep,Neutral
cant paint anymore light,Neutral
still stupidly sickcancelled philly trip sad day,Negative
reupload thing,Negative
im sick ridiculous,Negative
nice gimmeh nice stuff,Positive
says 2 12 hours go uwian na phplurkcom,Neutral
michelleeeeeeeeeeeemybelleeeeeeeeeeeeeeeeee snif snif,Neutral
tip finger hurts lmao,Negative
gloomy outside,Negative
thanks couldnt find way around itunes though found little app called switch job nicely,Positive
realizing dont school today tomorrow next months really need get job applications,Neutral
long day work stood home sleeping another long day work tomorrow happy mothers day mothers,Positive
actually done cousin,Neutral
going sleep gon na fall asleep playing apps tmrw going suck,Negative
embracing imperfections finding acceptance mosaic lifes beautiful chaos,Positive
im dead bored also dead poor student life piss take,Negative
happy mother day strong hard working mothers may god bless family,Positive
lots noisy peeps outside,Negative
arrived 150 fellows cant see girl,Neutral
wishing could famous acting dancing,Positive
kitties best,Positive
goin casa milans club house,Neutral
time tscc,Neutral
need remember data customer entered previous pages use back button many dont,Neutral
got best friends,Positive
yea lol,Neutral
thinks someone may keyed car big scratches hood,Negative
wtf pic isnt showing,Negative
aww sunny day tasty barbeque family got bad sunburn though,Neutral
wow shabu himym really feels comforting,Positive
people r weird,Negative
got home interesting night,Positive
2 hours find good star trek film jj really ticket costs 9 euro hope worth,Positive
josettewhere looked across pond nowhere found,Neutral
sun see ocean nowi almost ran squirrel driving home store foggy r,Negative
