original_text,orig_sentiment,orig_score,preprocessed_text,prep_sentiment,prep_score,corrected_label,corrected_on
Now playing on PP Media: taste  by sabrina carpenter! Tune in now: https://radio.pemudapancasila.or.id/public/pp_media #PemudapancasilaFM,Neutral,1,playing pp media taste sabrina carpenter tune pemudapancasilafm,Neutral,1,,
Normally I try to get a tight framing on cat photos but this one demanded some space. #caturday,Neutral,1,normally try get tight framing cat photos one demanded space caturday,Neutral,1,,
"From entire continents, to regions, cities and dungeons, all the maps I create go through three stages of development: sketching, inking and colouring with various levels of complexity.Come for a visit and ask me about a commission!#fantasymaps #ttrpg #cartography #fantasy #storytelling #mapmaking #handcrafted #art #noai",Neutral,1,entire continents regions cities dungeons maps create go three stages development sketching inking colouring various levels complexitycome visit ask commissionfantasymaps ttrpg cartography fantasy storytelling mapmaking handcrafted art noai,Neutral,1,,
🤠 This place is straight out of a Western dream: https://bit.ly/45I3FuL,Positive,0.56,place straight western dream,Neutral,1,,
"Okay, so I've been thinking some more about the Zoom concert tomorrow, and I think I might play ""Mo Li Hua"" after all: I can play most parts of it by heart, but still need the sheet music for some passages, so it's a good compromise - easing myself into the whole Zoom concert thing, but with a piece where I have the sheet music in front of me. A safety net so to speak, just in case I start panicking.Here is Mo Li Hua. I'm playing it a bit more slowly at the moment:https://youtube.com/shorts/BfFtAoKtsA4?si=tTq1O7eXmD7IfGvl",Neutral,1,okay ive thinking zoom concert tomorrow think might play mo li hua play parts heart still need sheet music passages good compromise easing whole zoom concert thing piece sheet music front safety net speak case start panickinghere mo li hua im playing bit slowly moment,Neutral,1,,
"“My jaw dropped. Coinbase, the world’s largest crypto exchange, the owner of 12 percent of the world’s Bitcoin supply, and listed on the S&amp;P 500, was paying for Trump to hold a military parade.”

@tinanguyen.bsky.social 
of @theverge.com takes on Bitcoin 2025.

www.theverge.com/cryptocurren...At the Bitcoin Conference, the...",Neutral,1,jaw dropped coinbase worlds largest crypto exchange owner 12 percent worlds bitcoin supply listed sampp 500 paying trump hold military parade tinanguyenbskysocial thevergecom takes bitcoin 2025 bitcoin conference,Neutral,1,,
"Stop the presses. I went outside ... IN PUBLIC ... wearing SHORTS. 😱I only went to Jimmy John's, but I had to get out of my car &amp; go inside the store since they don't have a drive-thru. I don't remember the last time that I owned a pair of shorts let alone wore them in public. I wear capris or crops during the summer.I actually found a pair of jean shorts at Old Navy that hit just above my knees and are actually comfy. Who knew my old fat arse could shop at Old Navy. 🤪",Neutral,1,stop presses went outside public wearing shorts went jimmy johns get car amp go inside store since dont drivethru dont remember last time owned pair shorts let alone wore public wear capris crops summeri actually found pair jean shorts old navy hit knees actually comfy knew old fat arse could shop old navy,Neutral,1,,
That's crazy.,Negative,0.84,thats crazy,Negative,0.57,,
For whatever reason my top right wisdom tooth has decided to make my life miserable right now. I really don’t want to go to a dentist because I’m sure practically zero are COVID realistic but I really need antibiotics and answers because I have swelling and it hurts to swallow ❤️‍🩹,Negative,1,whatever reason top right wisdom tooth decided make life miserable right really dont want go dentist im sure practically zero covid realistic really need antibiotics answers swelling hurts swallow,Negative,1,,
"hot take: if i buy a multiplatform game, i should be able to play it on any of the platforms without buying it again, at least, not at full price.the current system of isolating each game by each platform creates unfair platform monopolies.",Negative,0.78,hot take buy multiplatform game able play platforms without buying least full pricethe current system isolating game platform creates unfair platform monopolies,Negative,1,,
